task,lambda_penalty,T,seed,accuracy,entropy_first,entropy_last,entropy_delta,entropy_mean,q_delta_mean,slot_shift_mean,attention_coverage,chain_step_accuracy,chain_full_accuracy,alpha,grad_norm,runtime_sec
babi_task2,0.25,5,4,0.171875,4.299969673156738,4.267284870147705,-0.0326848030090332,4.285120487213135,0.5160290122032165,0.030398170463740826,1.63671875,0.10546875,0.0,0.10185002535581589,4.383764230310096,0.5498287677764893
babi_task2,0.5,1,0,0.171875,4.292265892028809,4.292265892028809,0.0,4.292265892028809,0.5033231377601624,0.0,1.0,0.00390625,0.00390625,0.09805160760879517,3.2874411045570877,0.19546008110046387
babi_task2,0.5,1,1,0.125,4.285123825073242,4.285123825073242,0.0,4.285123825073242,0.5965518951416016,0.0,1.0,0.00390625,0.00390625,0.09808290749788284,2.888396700414057,0.18856406211853027
babi_task2,0.5,1,2,0.16796875,4.287980556488037,4.287980556488037,0.0,4.287980556488037,0.5315300226211548,0.0,1.0,0.0078125,0.0078125,0.10065559297800064,3.9365778469036545,0.19215774536132812
babi_task2,0.5,1,3,0.0703125,4.303963661193848,4.303963661193848,0.0,4.303963661193848,0.5206258296966553,0.0,1.0,0.109375,0.109375,0.09800275415182114,3.243866232200851,0.23441290855407715
babi_task2,0.5,1,4,0.11328125,4.302920341491699,4.302920341491699,0.0,4.302920341491699,0.5176899433135986,0.0,1.0,0.171875,0.171875,0.09861321747303009,3.9992923444750192,0.21812200546264648
babi_task2,0.5,3,0,0.12890625,4.292431354522705,4.29000186920166,-0.002429485321044922,4.291669686635335,0.5510402719179789,0.027723992243409157,1.2109375,0.060546875,0.0,0.10174539685249329,4.156244226719691,0.35593509674072266
babi_task2,0.5,3,1,0.13671875,4.283010482788086,4.27577543258667,-0.007235050201416016,4.279921690622966,0.5912438631057739,0.0376436784863472,1.48828125,0.078125,0.0,0.10198719799518585,2.81797715666877,0.3478102684020996
babi_task2,0.5,3,2,0.16796875,4.289424896240234,4.290639400482178,0.0012145042419433594,4.29036283493042,0.5159157514572144,0.024532134644687176,1.4609375,0.068359375,0.0,0.09800150245428085,4.080459337873168,0.36232995986938477
babi_task2,0.5,3,3,0.00390625,4.30756139755249,4.305055618286133,-0.002505779266357422,4.306539058685303,0.5388708710670471,0.026125100441277027,1.36328125,0.099609375,0.0,0.10166668891906738,5.254051360698315,0.40346336364746094
